iter	Passed	Remaining
1127	16988	1084
1128	17003	1069
1129	17017	1054
1130	17031	1039
1131	17045	1023
1132	17058	1008
1133	17075	993
1134	17090	978
1135	17104	963
1136	17120	948
1137	17135	933
1138	17149	918
1139	17164	903
1140	17179	888
1141	17196	873
1142	17212	858
1143	17226	843
1144	17239	828
1145	17253	812
1146	17267	797
1147	17284	782
1148	17297	767
1149	17311	752
1150	17325	737
1151	17339	722
1152	17353	707
1153	17367	692
1154	17384	677
1155	17401	662
1156	17415	647
1157	17430	632
1158	17444	617
1159	17459	602
1160	17475	587
1161	17492	572
1162	17507	557
1163	17522	541
1164	17535	526
1165	17550	511
1166	17564	496
1167	17578	481
1168	17592	466
1169	17607	451
1170	17623	436
1171	17637	421
1172	17651	406
1173	17666	391
1174	17684	376
1175	17703	361
1176	17718	346
1177	17733	331
1178	17748	316
1179	17762	301
1180	17775	285
1181	17790	270
1182	17806	255
1183	17821	240
1184	17838	225
1185	17850	210
1186	17864	195
1187	17879	180
1188	17894	165
1189	17908	150
1190	17924	135
1191	17939	120
1192	17952	105
1193	17966	90
1194	17979	75
1195	17995	60
1196	18009	45
1197	18025	30
1198	18040	15
1199	18053	0
